row_id,surface_au_composition,substrate_au_composition,plane_rms_A,plane_max_abs_A,au_au_avg_bond_strain_surface,au_cu_avg_bond_strain_surface,cu_cu_avg_bond_strain_surface,au_avg_voronoi_strain,cu_avg_voronoi_strain,avg_au_cu_area_strain,diff_area_au_minus_cu_strain
121,5.555555555555555,0.0,0.04638110888566438,0.13241569622397725,nan,-5.834036303549408,-0.0836239149515778,-22.021884512629015,-0.07802596785695742,-1.2971292203442937,-21.94385854477206
122,5.555555555555555,0.0,0.05185462531993033,0.20321147790365873,nan,-4.491048925707705,-0.2696625281852973,-19.776321442905086,-0.25028994151420586,-1.3350694693692549,-19.52603150139088
123,5.555555555555555,0.0,0.05367932885732365,0.20179989558940178,nan,-4.768754220547091,-0.23343822972845127,-20.24599771493007,-0.2142807055144873,-1.3271538727042416,-20.031717009415583
124,5.555555555555555,0.0,0.05194506296916735,0.2025127775696359,nan,-4.7732758740535255,-0.232874510272263,-20.249648327997562,-0.21397319195568631,-1.3270662550691237,-20.035675136041874
125,5.555555555555555,0.0,0.044532416425393455,0.09508086398367831,nan,-5.495128591712512,-0.12577531664229522,-21.45612773582144,-0.12145975162672767,-1.3067190840819896,-21.334667984194713
126,5.555555555555555,0.0,0.05304610055211226,0.19833967380876819,nan,-4.582446149208082,-0.2577662498427341,-19.93660060786266,-0.23812009585366917,-1.332480124298613,-19.698480512008988
127,5.555555555555555,0.0,0.052494417227366544,0.2143852409357768,nan,-4.785642971578313,-0.23153689173590078,-20.277059123237372,-0.21227844511786245,-1.3269884827911682,-20.064780678119508
128,5.555555555555555,0.0,0.04345987629616786,0.11830590887081613,nan,-5.601449993737764,-0.11407181570405649,-21.63291485879088,-0.10812960570311257,-1.3039510086524329,-21.524785253087767
129,5.555555555555555,0.0,0.05117305966514053,0.11124182640376346,nan,-5.647439462003148,-0.10833396944900169,-21.71039721226667,-0.10195144846104641,-1.3024206575613588,-21.608445763805623
130,5.555555555555555,0.0,0.045314647233341485,0.12988383379065185,nan,-5.676188527416244,-0.1041703475440822,-21.754313709642368,-0.09877978484804138,-1.3018650028921706,-21.655533924794327
131,5.555555555555555,0.0,0.05341880460513996,0.2037737094968849,nan,-4.774545900802236,-0.23267015034138594,-20.255133782197788,-0.21369533854762301,-1.3271085854170765,-20.041438443650165
132,5.555555555555555,0.0,0.05621877418238836,0.21661875317808918,nan,-4.917381376113635,-0.21425276745877112,-20.49951879078788,-0.19496562946001503,-1.3229963606448965,-20.304553161327867
133,5.555555555555555,0.0,0.05141316715337488,0.20644555911290874,nan,-4.834399340221943,-0.22518263713275052,-20.358811013427268,-0.20596050958755308,-1.3255633153564261,-20.152850503839716
134,5.555555555555555,0.0,0.05202720730952312,0.21144236170855576,nan,-4.536717610989505,-0.2636557366177761,-19.858621394922437,-0.24415254049539079,-1.3338452546302264,-19.614468854427045
135,8.333333333333334,0.0,0.047242830627392284,0.14449533445890572,-7.082764988487516,-5.840395660557009,-0.18845647743491759,-21.16110700526512,-0.23499497166437475,-1.9788376411311033,-20.926112033600745
136,11.11111111111111,0.0,0.0549608887169133,0.13665757382821445,-7.064033004260371,-5.999207529644139,-0.3219592895160215,-20.205251479794967,-0.4876375880358993,-2.6784835760091292,-19.71761389175907
137,11.11111111111111,0.0,0.05787930624408999,0.12140406879562658,nan,-5.902792869879069,-0.19832685586790352,-22.13225912191256,-0.173514210990331,-2.6133747566483567,-21.95874491092223
138,13.88888888888889,0.0,0.06798189482771579,0.12960078239658296,nan,-6.032378572174102,-0.2198200576693624,-22.3561432669483,-0.1828517709426432,-3.262475589832318,-22.173291496005657
139,13.88888888888889,0.0,0.06701154233462246,0.15027670279678276,nan,-5.956524995043337,-0.25149316342565736,-22.228879279827545,-0.20961239624031894,-3.267843907849656,-22.019266883587225
140,16.666666666666668,0.0,0.06921459256537792,0.14007602805335687,nan,-6.112280075624667,-0.25067074992188165,-22.485677755581293,-0.19842520089085772,-3.912967293339263,-22.287252554690436
141,19.444444444444443,0.0,0.07036494075574974,0.16904246837117462,-7.214597558878829,-6.2773463546083725,-0.42164772272443496,-21.53350015689108,-0.5437928805170479,-4.625124850923109,-20.98970727637403
142,19.444444444444443,0.0,0.07396004454522635,0.16159891845849872,nan,-6.231864895061783,-0.24501220924725847,-22.68386453458061,-0.1817127303789615,-4.557131136751504,-22.50215180420165
143,22.22222222222222,0.0,0.0738865900843202,0.1611370171596539,-7.506192160906734,-6.3285607446653644,-0.5135123153750774,-21.495121123777633,-0.662466281285482,-5.291945135172629,-20.83265484249215
144,22.22222222222222,0.0,0.08649216485621262,0.19142004383890152,-8.413343882238793,-6.21161574841916,-0.4337558112601409,-22.128374775537743,-0.4263592215324627,-5.2490293446447485,-21.702015554005282
145,25.0,0.0,0.07882781075024067,0.15962875085353687,-8.363760289585164,-6.31175930186416,-0.6571262063711091,-21.35969209987478,-0.8352776071006557,-5.966381230294187,-20.524414492774124
146,25.0,0.0,0.08630274979625059,0.18900922791483277,-8.73154139672228,-6.327987692642509,-0.4563612792300269,-22.19464768480296,-0.47211149005902087,-5.902745538745005,-21.722536194743938
148,27.77777777777778,0.0,0.08993814129855701,0.2073911376070204,-8.756094627986261,-6.354824372331337,-0.7289477118371958,-21.507110171533288,-0.8931480056833941,-6.619248607308364,-20.613962165849895
